article;name_code;color_code;pattern_code;image_path;composition_code;width_mm;length_mm;unit;price
16280300;93;39;6;16280300.jpg;1;1500;1000;мм;158
16280297;93;40;6;16280297.jpg;1;1500;1000;мм;158
16238523;94;31;10;16238523.jpg;1;2800;1000;мм;238
16238515;94;41;10;16238515.jpg;1;2800;1000;мм;238
16238507;95;19;1;16238507.jpg;1;1450;1000;мм;238
16238494;95;17;1;16238494.jpg;1;1450;1000;мм;238
16238486;95;6;1;16238486.jpg;1;1450;1000;мм;238
14202500;96;29;7;14202500.jpg;1;2800;1000;мм;241
14202463;97;42;11;14202463.jpg;1;2800;1000;мм;241
16304383;98;30;12;16304383.jpg;1;2800;1000;мм;243
16238347;96;11;7;16238347.jpg;1;2800;1000;мм;243
16238339;95;8;1;16238339.jpg;1;1450;1000;мм;245
16238291;96;7;7;16238291.jpg;1;2800;1000;мм;256
15113711;99;14;13;15113711.jpg;1;2800;1000;мм;258
16240498;100;6;6;16240498.jpg;1;3000;1000;мм;271
16240480;100;5;6;16240480.jpg;1;3000;1000;мм;271
15113761;101;8;14;15113761.jpg;1;1500;1000;мм;287
16238371;102;1;15;16238371.jpg;1;1500;1000;мм;306
16280422;103;17;6;16280422.jpg;1;2800;1000;мм;321
16280414;103;5;6;16280414.jpg;1;2800;1000;мм;321
15113788;101;31;14;15113788.jpg;1;1500;1000;мм;352
17372302;104;6;16;17372302.jpg;1;2800;1000;мм;356
15985009;104;19;16;15985009.jpg;1;2800;1000;мм;356
15985092;105;23;17;15985092.jpg;1;2900;1000;мм;357
15985076;105;6;17;15985076.jpg;1;2900;1000;мм;357
18090139;106;5;18;18090139.jpg;1;2800;1000;мм;361
16238380;96;1;7;16238380.jpg;1;2800;1000;мм;371
15985113;107;31;19;15985113.jpg;1;3000;1000;мм;372
16238419;108;8;6;16238419.jpg;1;2800;1000;мм;375
16314338;109;8;6;16314338.jpg;1;2900;1000;мм;378
16240519;110;19;20;16240519.jpg;1;3000;1000;мм;380
18090180;106;31;18;18090180.jpg;1;2800;1000;мм;383
18090171;106;7;18;18090171.jpg;1;2800;1000;мм;383
18090163;106;4;18;18090163.jpg;1;2800;1000;мм;383
18090155;106;8;18;18090155.jpg;1;2800;1000;мм;383
18090147;106;17;18;18090147.jpg;1;2800;1000;мм;383
14202172;111;17;5;14202172.jpg;1;1560;1000;мм;400
16246401;104;6;16;16246401.jpg;1;2800;1000;мм;401
16246398;104;5;16;16246398.jpg;1;2800;1000;мм;401
13758419;112;23;1;13758419.jpg;1;1560;1000;мм;404
13758339;112;6;1;13758339.jpg;1;1560;1000;мм;404
16246443;113;6;21;16246443.jpg;1;3000;1000;мм;408
16246478;114;6;22;16246478.jpg;1;2800;1000;мм;417
16246460;114;5;22;16246460.jpg;1;2800;1000;мм;417
14206990;104;43;16;14206990.jpg;1;2900;1000;мм;418
16238427;96;1;7;16238427.jpg;1;2800;1000;мм;428
15985033;115;20;23;15985033.jpg;1;2800;1000;мм;431
16238620;108;17;6;16238620.jpg;1;2800;1000;мм;460
13828464;116;19;24;13828464.jpg;10;1500;1000;мм;474
13828456;116;44;24;13828456.jpg;10;1500;1000;мм;474
13828405;117;1;25;13828405.jpg;10;1500;1000;мм;474
13828392;117;4;25;13828392.jpg;10;1500;1000;мм;474
13828384;118;17;26;13828384.jpg;10;1500;1000;мм;474
13828341;119;45;27;13828341.jpg;10;1500;1000;мм;474
13041143;120;46;28;13041143.jpg;10;1500;1000;мм;474
13041055;121;47;29;13041055.jpg;10;1500;1000;мм;474
16304447;122;8;6;16304447.jpg;1;2800;1000;мм;485
16304391;122;30;6;16304391.jpg;1;2800;1000;мм;485
16304308;122;5;6;16304308.jpg;1;2800;1000;мм;485
16313933;123;30;30;16313933.jpg;1;2700;1000;мм;487
12966275;124;19;31;12966275.jpg;1;3000;1000;мм;491
15113534;125;8;6;15113534.jpg;1;2800;1000;мм;497
16246486;106;5;6;16246486.jpg;1;2800;1000;мм;501
16306389;126;5;6;16306389.jpg;1;2800;1000;мм;513
16246507;124;31;31;16246507.jpg;1;2800;1000;мм;513
16308405;127;5;32;16308405.jpg;1;3000;1000;мм;518
16238638;128;5;33;16238638.jpg;1;2800;1000;мм;518
12968182;129;5;34;12968182.jpg;1;2900;1000;мм;518
1067;130;4;35;1067.jpg;1;1500;1000;мм;320
1066;131;48;35;1066.jpg;1;1500;1000;мм;320
1065;132;7;35;1065.jpg;1;1500;1000;мм;320
1064;133;30;35;1064.jpg;1;1500;1000;мм;320
1063;134;29;35;1063.jpg;1;1500;1000;мм;320
1062;135;49;35;1062.jpg;1;1500;1000;мм;320
1061;136;4;35;1061.jpg;1;1500;1000;мм;320
1060;137;50;35;1060.jpg;1;1500;1000;мм;320
1059;138;51;35;1059.jpg;1;1500;1000;мм;320
1058;139;52;31;1058.jpg;1;1400;1000;мм;450
1057;140;53;35;1057.jpg;1;1500;1000;мм;320
1056;141;4;36;1056.jpg;1;1550;1000;мм;450
1055;142;16;36;1055.jpg;1;1500;1000;мм;450
1054;143;5;36;1054.jpg;1;1500;1000;мм;450
1053;144;5;36;1053.jpg;11;1500;1000;мм;450
1052;145;4;37;1052.jpg;1;1500;1000;мм;450
1051;146;41;36;1051.jpg;1;1500;1000;мм;450
1050;147;41;36;1050.jpg;1;1500;1000;мм;450
1049;148;1;36;1049.jpg;1;1500;1000;мм;450
1048;149;41;36;1048.jpg;1;1500;1000;мм;450
1047;150;1;4;1047.jpg;1;1500;1000;мм;450
1046;151;31;4;1046.jpg;1;1500;1000;мм;450
1045;152;31;4;1045.jpg;1;1500;1000;мм;450
1044;153;11;4;1044.jpg;1;1500;1000;мм;450
1043;154;16;37;1043.jpg;1;1400;1000;мм;450
1042;155;16;37;1042.jpg;1;1500;1000;мм;450
1041;156;41;35;1041.jpg;1;1500;1000;мм;320
1040;157;5;35;1040.jpg;1;1500;1000;мм;320
1039;158;1;35;1039.jpg;1;1500;1000;мм;320
1038;159;16;35;1038.jpg;1;1500;1000;мм;260
1037;160;4;35;1037.jpg;1;1500;1000;мм;260
1036;161;29;35;1036.jpg;1;1500;1000;мм;260
1035;162;14;35;1035.jpg;1;1500;1000;мм;220
1034;163;1;35;1034.jpg;1;1500;1000;мм;220
1033;164;30;35;1033.jpg;1;1500;1000;мм;220
1032;165;29;35;1032.jpg;1;1500;1000;мм;220
1031;166;11;35;1031.jpg;1;1500;1000;мм;220
1030;167;16;35;1030.jpg;1;1500;1000;мм;540
1029;168;1;35;1029.jpg;1;1500;1000;мм;540
1028;169;30;35;1028.jpg;1;1500;1000;мм;540
1027;170;8;35;1027.jpg;1;1500;1000;мм;540
