article;name;width_mm;length_mm;dimension_unit;weight_value;weight_unit;type_code;image_path;price
Godetia;"Лента декоративная ""Floranta""";10.0;3000.0;;0;гр;28;Godetia.jpg;129.00
Cloriosa;"Лента декоративная ""Floranta""";50.0;3000.0;;0;гр;28;Cloriosa.jpg;209.00
Salvia;"Лента декоративная ""Floranta""";10.0;3000.0;;0;гр;28;Salvia.jpg;169.00
LRW-35;"Тесьма декоративная ""Blumentag"" декоративная";40.0;3000.0;;0;гр;28;LRW-35.jpg;327.00
Lisianthus;"Лента декоративная ""Floranta""";58.0;3000.0;;0;гр;28;Lisianthus.jpg;207.00
Nelumbo;"Лента декоративная ""Floranta""";9.0;3000.0;;0;гр;28;Nelumbo.jpg;213.00
Achillea;"Лента декоративная ""Floranta""";25.0;3000.0;;0;гр;28;Achillea.jpg;232.00
Ludisia;"Лента декоративная ""Floranta""";12.0;3000.0;;0;гр;28;Ludisia.jpg;281.00
TRJ-28;"Лента жаккардовая ""Gamma""";22.0;3000.0;;0;гр;28;TRJ-28.jpg;221.00
Viola;"Лента декоративная ""Floranta""";30.0;3000.0;;0;гр;28;Viola.jpg;160.00
Wisteria;"Лента декоративная ""Floranta""";15.0;3000.0;;0;гр;28;Wisteria.jpg;207.00
Celosia;"Лента декоративная ""Floranta""";20.0;3000.0;;0;гр;28;Celosia.jpg;149.00
Carlina;"Лента декоративная ""Floranta""";25.0;3000.0;;0;гр;28;Carlina.jpg;278.00
Syringa;"Лента декоративная ""Floranta""";15.0;3000.0;;0;гр;28;Syringa.jpg;227.00
Tigridia;"Лента декоративная ""Floranta""";40.0;3000.0;;0;гр;28;Tigridia.jpg;140.00
Davallia;"Лента декоративная ""Floranta""";12.0;3000.0;;0;гр;28;Davallia.jpg;202.00
Agapanthus;"Лента декоративная ""Floranta""";50.0;3000.0;;0;гр;28;Agapanthus.jpg;179.00
Vriesia;"Лента декоративная ""Floranta""";25.0;3000.0;;0;гр;28;Vriesia.jpg;215.00
Clivia;"Лента декоративная ""Floranta""";20.0;3000.0;;0;гр;28;Clivia.jpg;93.00
Camelia;"Лента декоративная ""Floranta""";15.0;3000.0;;0;гр;28;Camelia.jpg;148.00
Peony;"Лента декоративная ""Floranta""";15.0;3000.0;;0;гр;28;Peony.jpg;167.00
Scilla;"Лента декоративная ""Floranta""";40.0;3000.0;;0;гр;28;Scilla.jpg;198.00
Glechoma;"Лента декоративная ""Floranta""";25.0;3000.0;;0;гр;28;Glechoma.jpg;248.00
Masdevallia;"Лента декоративная ""Floranta""";30.0;3000.0;;0;гр;28;Masdevallia.jpg;345.00
дк00056;Бейл прозрачный;14.0;8.0;;0;гр;53;дк00056.jpg;4.00
дк00068;Бейл с площадкой;10.0;2.0;;0;гр;53;дк00068.jpg;2.40
рк00048;Декоративный элемент под заливку Птица на ветке;42.0;3.0;;0;гр;54;рк00048.jpg;39.00
ш00090;Заглушка для пуссет и серег силиконовая (50 пар);4.0;2.5;;0;гр;55;ш00090.jpg;20.00
ш00094;Заглушка для пуссет и серег Трубочки (50 пар);4.0;3.0;;0;гр;55;ш00094.jpg;20.00
о00069;Зажим для волос Крокодильчик;62.0;12.0;;0;гр;56;о00069.jpg;8.00
зк00042;Зажим конвертик с прижимной пластинкой (50 шт);4.0;4.0;;0;гр;57;зк00042.jpg;15.00
зк00030;Зажим конвертик (20 шт);12.0;4.0;;0;гр;58;зк00030.jpg;7.00
о00121;Закладка для книги Перо;100.0;14.0;;0;гр;59;о00121.jpg;39.00
о00170;Закладка для книги с завитками;86.0;20.0;;0;гр;59;о00170.jpg;24.00
о00169;Закладка для книги с цветами;81.0;17.0;;0;гр;59;о00169.jpg;22.00
